,,Session 0,,,,,Session 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Session 2,,,,,,,,,,,,,,,,,,Session 3,,,,,,,Session 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Session 6,,,
1_2_Location,CLE,Presence0,How did you get to the forum today?,What is your main question about driverless mobility?,"How do you feel about the idea of driverless mobility? 
[1 = very pessimistic
2 = Pessimistic
3 = Neutral
4 = Optimistic
5 = Very Optimistic]",What is one word to describe your thoughts about driverless mobility?,Presence1,Where did you travel and why? (Last weekend),Where did you travel and why? (Last week),Where did you travel and why? (My last vacation),How did you get there? (last weekend),How did you get there? (last week),How did you get there? (last vacation),Who did you travel with? (Last weekend),Who did you travel with? (Last week),Who did you travel with? (Last vacation),What did you enjoy about the trip? (last weekend),What did you enjoy about the trip? (last week),What did you enjoy about the trip? (last vacation),What challenges or discomforts did you experience? (Last weekend),What challenges or discomforts did you experience? (Last week),What challenges or discomforts did you experience? (Last vacation),Accessibility (physical access) of transportation by car,Accessibility (physical access) of public transportation,Travel time by car,Travel time by public transportation,Traffic congestion in cities,Traffic congestion on highways,Availability of transportation options,"Areas used for other mobility methods (e.g., biking, walking)",Harm occurring from traffic accidents,Total cost of public transportation,Total cost of individual car ownership,Getting to and from places that are not easy to access,"Availability of my time to do things while traveling (work, sleep, read, etc)",Other (please list),Other category,Pick the most important transportation issue to you from the list above. Please explain what effect you think driverless mobility would have on it and why.,Biggest hope #1,because…,Biggest hope #2,because…,Biggest hope #3,because…,Biggest concern #1,because…,Biggest concern #2 ,because…,Biggest concern #3,because…,Presence2,I would feel comfortable riding in a vehicle with Level 2 automation,I would feel comfortable riding in a vehicle with Level 3 automation,I would feel comfortable riding in a vehicle with Level 4 automation,I would feel comfortable riding in a vehicle with Level 5 automation,Please explain your rationale,I would support testing of driverless vehicles in test beds,I would support testing of driverless vehicles in a local test track,I would support testing of driverless vehicles in neighborhoods in less populated areas,I would support testing of driverless vehicles in neighborhoods in cities,I would support testing of driverless vehicles on highways,Please explain your rationale about what you would support and under what conditions,It is acceptable for city/town transportation manaers to manage and control data about passengers generated by automated mobility systems,It is acceptable for private companies to manage and control data about passengers generated by automated mobility systems,It is acceptable for data about passengers generated by automated mobility systems to be sold to companies,Individual citizens should have control over selling their data or forbidding its use other than to operate the system,It is acceptable for the anonymized data generated by the operation of vehicles to be freely available for any use,What are the most important data issues to you and why are they the most important?,Presence3,Improving the current system,Individual Ownership,Ride Share Model,Public Transportation Model,What is your preferred scenario(s)?,Please explain your rationale and note any changes you would like to make to the scenario or if you would like to combine any of the scenarios.,Presence4,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,Pick the most important issue to you and explain your rationale for which stakeholder you think would be most effective:,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,National Government,Local Government,Non-profit organizations,Transportation Industry,Insurance Companies,Pick the most important issue to you and explain your rationale for which stakeholder you trust most to handle that issue:,1,2,3,4,5,6,"Beyond those 6 issues, what other issues do you think are important and why?",National Government,Local Government,Industry,Presence6,Was your main question about driverless mobility addressed?,What questions about driverless mobility do you still have?,What is one word to describe your thoughts about driverless mobility?
Buffalo,JRHC-YR3U,Yes,motorcycle,How can we make it safe for everyone?,Very optimistic,excited,Yes,"garage sales, casino",work,"ocean city, new jersey beach vacation rental",motorcycle,car,"2019 volkswagen atlas (steering assist, cruise with brake assist)",fiance,me,"fiance, her 2 daughters and 1 of their boyfriend","weather good, mpg",air condition,my first pleasure to drive vehicle with assistantd features,not a lot of room for much,car is old,getting familiar with assisted driving features,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,,,Total cost of transportation,Safety,humans driving are dangerous,Cost/affordability - more electric vehicles on road,,Efficiency,,How is it monetized,,Artificial Intelligence,,,,Yes,Agree,Agree,Agree,Unsure/I don't know,"have only experienced level 2, enjoyed after getting familiar",Agree,Agree,Agree,Agree,Agree,testing under controlled situations,Unsure/I don't know,Strongly disagree,Strongly disagree,Strongly agree,Unsure/I don't know,dependency on AI,Yes,Neutral,Higly desirable,Highly undesirable,Desirable,Individual ownership,would have regulation/inspection required,Yes,4 - Effective,2 - Not effective,4 - Effective,2 - Not effective,1 - Not at all effective,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,1 - Not at all effective,3 - Unsure,4 - Effective,3 - Unsure,2 - Not effective,1 - Not at all effective,3 - Unsure,2 - Not effective,4 - Effective,2 - Not effective,1 - Not at all effective,4 - Effective,4 - Effective,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,3 - Unsure,4 - Effective,2 - Not effective,1 - Not at all effective,Local government - cybersecurity,2 - Don't trust,4 - Trust,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,3 - Unsure,4 - Trust,3 - Unsure,1 - Don't trust at all,1 - Don't trust at all,2 - Don't trust,3 - Unsure,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,3 - Unsure,4 - Trust,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,3 - Unsure,4 - Trust,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,"Privacy protection - non-profit feel like the interests in a non-profit would be to protect privacy, not greed.",Privacy protection,Safety,Environment,Justice/equity,Cybersecurity,Infrastructure,"Crime/Predators
Efficiency 
Capitalism/Greed
Drug smuggling",Can't stop progress/technology. Regulate,Regulate independently,stop slowing progress,Yes,how can we make it beneficial for the public without monetizing it too much?,how can it help small business owners?,hopeful
Buffalo,TGPG-HXWH,Yes,Using google maps I timed the bus and train to get me here then I walked after getting off the train.,How can it better our future?,Neutral,Interesting,Yes,Work,Work,"Miami, FL, best friend's graduation","Bus, train, walking",Same,Plane,By myself,Same,By myself,"listening to music, preparing myself for the day",Same,1st time experiencing by myself,Making sure I'm on time.  Making sure I don't end up stuck in traffic.,Same,Nervousness,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would have no effect,,,Travel time by far because you can't really predict how traffic will ever be especially depending on the weather and what area of Buffalo you are in.,safer,driving environment,less traffic because the speed of driverless mobility might keep people going faster,,less carbondioxide,,safety because how'll driverless mobility be aware of its surroundings?,,"technology hacking because its at a high right now in the world you can easily hack anything (terrorist attacks, communication, power turns off, natural disaster)",,n/a,,Yes,Agree,Agree,Disagree,Strongly disagree,"level 2, level 3 because you can be more in control and cautious of surrounding than a vehicles doing it for you",Agree,Agree,Agree,Disagree,Strongly disagree,i would support if the area was surrounded by blocked poles and no human interaction,Strongly disagree,Disagree,Unsure/I don't know,Disagree,Disagree,knowing how to handle any situation at anytime how much software and information that is personal can be taken from someone,Yes,Higly desirable,Neutral,Not desirable,Higly desirable,,"Job losses because people are becoming more dependent on transportation that is driverless mobility, less drivers. income may go lower, less hours of work",Yes,4 - Effective,4 - Effective,2 - Not effective,1 - Not at all effective,2 - Not effective,3 - Unsure,3 - Unsure,3 - Unsure,2 - Not effective,1 - Not at all effective,2 - Not effective,1 - Not at all effective,3 - Unsure,4 - Effective,2 - Not effective,1 - Not at all effective,1 - Not at all effective,2 - Not effective,3 - Unsure,2 - Not effective,2 - Not effective,1 - Not at all effective,4 - Effective,5 - Very effective,5 - Very effective,4 - Effective,3 - Unsure,4 - Effective,4 - Effective,2 - Not effective,Safety in the local government and national government because they are at the top of the chain. They are in control of everything and how it ends up.,2 - Don't trust,2 - Don't trust,3 - Unsure,1 - Don't trust at all,1 - Don't trust at all,3 - Unsure,3 - Unsure,3 - Unsure,2 - Don't trust,2 - Don't trust,2 - Don't trust,3 - Unsure,5 - Trust a lot,3 - Unsure,3 - Unsure,2 - Don't trust,2 - Don't trust,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,2 - Don't trust,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,1 - Don't trust at all,2 - Don't trust,2 - Don't trust,Non profit organizations when it comes to justice and equity because often they are open arms to everyone and everything. free willing when the seek justice for people to be treated equal,Safety,Privacy protection,Justice/equity,Cybersecurity,Environment,Infrastructure,"funds being cut
people aren't getting all their hrs. at work
cut pay",N/A,N/A,N/A,Yes,yes,are they really considering us doing this in the future?  will there be only small shuttles or will there be other options also? can you get an driverless mobility without an license because... technically your not driving?,nervous
Buffalo,9XQA-EMKF,Yes,"I walked to the pharmacy ( 1 and half miles), then to the light rail( half mile), then took the light train to University Station and walked to the hall from there.",I'm wondering if it will create a further divide between rich and poor - will economically disadvantaged people have access to the technology?,Optimistic,Excited,Yes,grocery store,warehouse club/doctor's office,family's house a few hours away,bus,bus/walking,"we had a vehicle then and used it, husband drives since I cant",alone,alone/ husband and son to doctor,husband and son,nothing,nice bus driver/being out with family,seeing family,motion sickness+ panic attacks on buses,motion sickness and difficulty carrying items,crazy drivers on the road,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would have no effect,,,"the cost of transportation is a huge issue for me. I'm disabled so are my husband and son, so we have very limited funds and increased needs for transportation would be a barrier to accessibility as the upgrading of systems would cost a significant amount.",Being able to drive again,I have neurological issues and vision issues and cannot safely drive myself now.,Accessibility - public transportation takes a significant amount of time and energy.,,Affordable -  i hope the offset of driver salaries might affect affordability,,Cost - upgrading systems costs lost of money and I'm already struggling to afford transportation,,Ethics -  how do you program for the trolley problem?,,Safety - people might not learn to drive appropriately without the technology and technologies fail at times,,Yes,Strongly agree,Agree,Disagree,Strongly disagree,i feel almost completely comfortable with level 2. level 3 is the highest level i'm potentially okay with because there are still human drivers and moving obstacles that machine learning can't keep up with,Strongly agree,Strongly agree,Unsure/I don't know,Unsure/I don't know,Unsure/I don't know,i support testing in populated areas if there is a human driver and the monitors are being used to generate machine learning algorithm for virtual testing use.,Agree,Unsure/I don't know,Disagree,Strongly agree,Unsure/I don't know,"my biggest worry is that the data will be used for inappropriate things.  if my data points at me having serious mental health issues that may be pushing me toward suicide, vehicle going to rate me our and get me involuntarily committed? are the data going to be used to discriminate and keep goods and services out of certain neighborhoods due to income levels? things like this concern me greatly",Yes,Higly desirable,Desirable,Desirable,Higly desirable,Individual ownership;Public transportation model,combining these two leads to having public and private option to serve the maximum number of people. I am personally most comfortable with improving the current system but i recognize that we cannot stop the forward march of technological advancement so we need to adapt to the future and take steps to make this the most accessible for everyone,Yes,4 - Effective,4 - Effective,3 - Unsure,1 - Not at all effective,3 - Unsure,4 - Effective,5 - Very effective,2 - Not effective,3 - Unsure,1 - Not at all effective,4 - Effective,4 - Effective,4 - Effective,1 - Not at all effective,1 - Not at all effective,3 - Unsure,4 - Effective,4 - Effective,2 - Not effective,2 - Not effective,4 - Effective,4 - Effective,4 - Effective,4 - Effective,5 - Very effective,3 - Unsure,4 - Effective,5 - Very effective,1 - Not at all effective,1 - Not at all effective,"I feel safety is the biggest issue because if the technology isn't safe it won't make it to the roads. Insurance companies would ave the biggest financial stake in safety, so I feel they would make themselves highly effective here.",3 - Unsure,3 - Unsure,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,4 - Trust,3 - Unsure,3 - Unsure,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,1 - Don't trust at all,2 - Don't trust,3 - Unsure,3 - Unsure,3 - Unsure,2 - Don't trust,1 - Don't trust at all,4 - Trust,4 - Trust,4 - Trust,4 - Trust,5 - Trust a lot,3 - Unsure,3 - Unsure,4 - Trust,1 - Don't trust at all,3 - Unsure,"Safety is still the most important issue because if it's unsafe it won't get approved for the roads. Again, insurance companies have such a significant financial interest in the safety issue that they would be highly relevant.",Safety,Justice/equity,Cybersecurity,Infrastructure,Privacy protection,Environment,I feel you've covered the issues with these categories adequately.,"Create effective legislation to ensure safety, equity, & consumer protections.",Make sure the infrastructure can support both traditional & driverless vehicles adequately.,Work on making the technology highly accessible & affordable to everyone.,Yes,"not really - my main question was really about if there would be equity for economically disadvantaged and disabled people, and since its not currently available technology the answer isn't available at this time.","i have more questions now then i did before! i have so many questions and concerns about equity, safety, and cyber security now that i hadn't even thought of before.",trepidatious
Buffalo,RUQX-EVHB,Yes,Drove,How soon is this realistically going to be a reality here?,Neutral,Huh?( I have a lot of questions about how it would really work here),Yes,supermarket errands,1 hour to rochester for business,cruise to mexico,drove personal vehicle,drove personal vehicle,airplane,alone,alone,alone,time saving and ease,"easy highway, radio, time alone to think",i'don't like traveling,having to park far away and walk,traffic jam from road work on the way back,plane seats small,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would improve,,,"traffic congestion in cities, i'm concerned driverless cars would put more cars on road",make getting to place easier,the only reason to do anything is to add ease to one's life,"that it will be safe - i'm afraid manufacturers and regulators will come up with an ""acceptable risk"" number and not bother to improve beyond that.",,"that it will be affordable -  so everyone will have access to it, not just people of means",,access to roads - i'm concerned accommodations for driverless mobility will push out access for everyday drivers. The new tain downtown pushed cars our all together,,"safety -  there will need to be a ""beta test"" time and its hard to say how many injuries would be ""acceptable"" for moving driverless mobility forward",,easy parking - more cars on the road could mean more congested parking opportunities.,,Yes,Strongly agree,Agree,Unsure/I don't know,Unsure/I don't know,"level 2, it still requires the motorists attention of 2 degree",Strongly agree,Strongly agree,Agree,Unsure/I don't know,Strongly agree,,Agree,Unsure/I don't know,Unsure/I don't know,Strongly agree,Agree,"the location indicators could be used against me in one way or another. perhaps in a court case, an opponent could enter vehicle location information that contradicts my stated whereabouts and the discrepancy could become a big issue. for example lie detector test have been proven to be pure fantasy when it comes to liability. still their results have tremendous credibility",Yes,Higly desirable,Neutral,Desirable,Desirable,Individual ownership,"i'm not a planner, i'm very spontaneous. i'm also incurable night owl.  Being able to come and go with fewer considerations than my own whim is of a high premium to me.",Yes,2 - Not effective,3 - Unsure,5 - Very effective,2 - Not effective,1 - Not at all effective,4 - Effective,4 - Effective,2 - Not effective,4 - Effective,1 - Not at all effective,2 - Not effective,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,2 - Not effective,3 - Unsure,4 - Effective,2 - Not effective,1 - Not at all effective,2 - Not effective,3 - Unsure,4 - Effective,2 - Not effective,3 - Unsure,1 - Not at all effective,4 - Effective,5 - Very effective,2 - Not effective,3 - Unsure,"Safety 
Not for profit agencies
I would most expect them to just spit out their findings and data with the least bias/agenda",1 - Don't trust at all,3 - Unsure,5 - Trust a lot,2 - Don't trust,1 - Don't trust at all,3 - Unsure,4 - Trust,5 - Trust a lot,4 - Trust,3 - Unsure,1 - Don't trust at all,3 - Unsure,5 - Trust a lot,2 - Don't trust,3 - Unsure,1 - Don't trust at all,3 - Unsure,5 - Trust a lot,3 - Unsure,2 - Don't trust,2 - Don't trust,3 - Unsure,5 - Trust a lot,4 - Trust,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,5 - Trust a lot,3 - Unsure,3 - Unsure,"Safety 
Not for profit agencies
I'd expect the non-profit to not be in the back pockets of anybody that could influence their findings.",Safety,Environment,Justice/equity,Infrastructure,Cybersecurity,Privacy protection,none,Don't be in a rush to push through technology and such that are dubious,Don't let federal government and industry dollars roll over and push stuff through that's not safe or ready,"same as above, don't be in a rush to put something out. safety.",Yes,No. I was curious about how far/near in the future is the roll out for this type of transportation,I have questions about how AVs would/could adapt to new situations it hadn't already seen,ambivalent
Buffalo,PGWG-663X,Yes,Car/google maps,"How does it work?
Will it be dangerous?
How much will it cost?",Neutral,Curious,Yes,shopping to a friends etc.,"made deliveries, drove to work, etc.",to NY from FL,car and motorcycle,car and motorcyle,plane and car,alone,alone,alone,the weather,the weather and freedom to drink,flying and traveling,traffic and weather,traffic,wait time and traffic,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would improve,,,travel time by car - if driverless car were on exact routes it could and should relieve congestion on roads,relieve congestion,cars on exact routes,safer driving - eliminate human error,,more efficient - give people more time to complete tasks while not driving,,safety - computers could possibly malfunction,,loss of freedom - not sure what at this moment but could be a concern,,end up at wrong location - if computer confuses similar addresses,,Yes,Strongly disagree,Unsure/I don't know,Disagree,Disagree,level 2 at this point as i would prefer to keep control of my vehicle until the technology improves to a be in place,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,i don't feel the technology is ready to test in public,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,"personal data should remain personal unless the individual consent to sharing the data, but on the other hand anonymous data sharing could be ok and helpful to public travel, infrastructure, planning etc.",Yes,Desirable,Neutral,Desirable,Not desirable,Improving the current system;Individual ownership;Ride share model,"i would like to keep the freedom of individual ownership but combine #1, #2, and #3",Yes,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,1 - Not at all effective,4 - Effective,4 - Effective,4 - Effective,3 - Unsure,1 - Not at all effective,4 - Effective,4 - Effective,4 - Effective,3 - Unsure,1 - Not at all effective,4 - Effective,3 - Unsure,3 - Unsure,3 - Unsure,1 - Not at all effective,4 - Effective,4 - Effective,3 - Unsure,3 - Unsure,1 - Not at all effective,4 - Effective,4 - Effective,4 - Effective,3 - Unsure,1 - Not at all effective,Infrastructure - National Government - I feel they would be the best resource for creating a consistent overall plan for the country to move forward on driverless vehicles,4 - Trust,4 - Trust,5 - Trust a lot,3 - Unsure,1 - Don't trust at all,4 - Trust,4 - Trust,5 - Trust a lot,4 - Trust,1 - Don't trust at all,4 - Trust,4 - Trust,5 - Trust a lot,3 - Unsure,1 - Don't trust at all,4 - Trust,4 - Trust,4 - Trust,3 - Unsure,1 - Don't trust at all,4 - Trust,4 - Trust,5 - Trust a lot,4 - Trust,1 - Don't trust at all,4 - Trust,4 - Trust,5 - Trust a lot,3 - Unsure,1 - Don't trust at all,Environment - Non Profit - I feel a non profit would be the most ***** stakeholder to effectively be the environmental watchdog for driverless vehicles in the future,Infrastructure,Environment,Cybersecurity,Justice/equity,Safety,Privacy protection,"Efficiency of travel
Being handicapped accessible",Do 100% due diligence and only allow this after years of serious research,same as above,put the public good & safety above profits,Yes,yes,will it be researched and tested properly before implementing,interesting
Buffalo,QUTX-BCUU,Yes,car/elevator,"public vs. private
local vs, long distance
safety: hardware(nails) vs software
What is future going to be like ( climate change, civic disorder,...)",Optimistic,helpful,Yes,"-clarence
-wegmans",wegmans,chautauqua,"-car
-walk",walk,car,"-alone
-alone",alone,along,"-quick
-exercises",exercise and food,seeing family and water skiing,"-none
-rain",jam on 290 for accident and road work,none,,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,,,prepare the way for no private cars as a goal within neighborhoods. Free Vp space for safer biking and walking.,climate change,short-run public vehicles can be electric,safety because automated systems could be safe,,Higher density because higher density is more efficient,,safety because will there be good enough regulations,,payment because public transit should be free,,justice because will the people who are in most need of a better transit get it,,Yes,Strongly agree,Strongly agree,Unsure/I don't know,Unsure/I don't know,"a level that allows for human intervention, seems safer until all the bug are worked out",Strongly agree,Strongly agree,Agree,Agree,Agree,local and slow like shuttles is ok on semi-fixed routes highway limited access roads are simpler for a computer,Agree,Unsure/I don't know,Strongly disagree,Agree,Agree,"security of over-the-air program updates. ability to ""drop out"" of networked mode and work in ""stand alone"" mode, whatever that its",Yes,Desirable,Neutral,Desirable,Higly desirable,Public transportation model,"The bus system is bad.  shuttle lines might help. community input into the management of the nfta might help. small ""shuttle"" buses might provide and main line service in the night time periods that buses ""don't run""",Yes,5 - Very effective,5 - Very effective,3 - Unsure,3 - Unsure,3 - Unsure,5 - Very effective,5 - Very effective,3 - Unsure,3 - Unsure,3 - Unsure,5 - Very effective,4 - Effective,3 - Unsure,3 - Unsure,3 - Unsure,5 - Very effective,4 - Effective,3 - Unsure,5 - Very effective,3 - Unsure,5 - Very effective,4 - Effective,3 - Unsure,5 - Very effective,3 - Unsure,4 - Effective,4 - Effective,2 - Not effective,3 - Unsure,3 - Unsure,Safety: The feds to set the standards and check compliance (or local) the manufacturer to build a vehicle that complies with the standards,5 - Trust a lot,5 - Trust a lot,3 - Unsure,4 - Trust,4 - Trust,5 - Trust a lot,5 - Trust a lot,3 - Unsure,3 - Unsure,2 - Don't trust,5 - Trust a lot,5 - Trust a lot,4 - Trust,3 - Unsure,2 - Don't trust,4 - Trust,4 - Trust,3 - Unsure,2 - Don't trust,2 - Don't trust,5 - Trust a lot,5 - Trust a lot,4 - Trust,4 - Trust,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,4 - Trust,2 - Don't trust,Safety - the federal government has other similar duties already: FAA,Safety,Environment,Justice/equity,Privacy protection,Infrastructure,Cybersecurity,"Fitting in to the larger transportation system, especially in serving the underserved","Require all vehicles to have active transponders, and make suitable other ones for bikes or pedestrians",Work with the mass transit agency to maximize benefit to those who have no other options,Do something to make buses attractive to suburbanites.,Yes,"I did not have a main question. The closest was ""is it likely to have shuttle service on the west side of Buffalo"" and: not impossible",Well the safety issue can't be resolved yet in terms of accidents/million miles. Even the Boeing 737 Max turned out to be not safe due to regulatory failure.,revolutionary
Buffalo,4MV5-SCH4,Yes,bus and light rail,how can we address the human driver cars being unpredictable,Very optimistic,excited,Yes,no where,"shopping, doctors",lake cayuga,stayed home,asked a neighbor,brother,wife,wife,"wife, brother, sister in law",,the company,the view,,none,road work,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,,,traffic jams driverless cars won't stop to look at accidents,less traffic,driverless cars are not nosy,reduced traffic accidents - they will strictly adhere to speed car length laws etc.,,less road rage - less human error,,human element - people are unpredictable,,being hacked - no system is fail proof,,cost - with new tech come bigger cost,,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"all, im a techie",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Unsure/I don't know,Agree,Agree,Strongly agree,i don't want my consumer habits tracked,Yes,Higly desirable,Neutral,Desirable,Desirable,Ride share model,ride share would reduce traffic and parking,Yes,4 - Effective,4 - Effective,3 - Unsure,3 - Unsure,3 - Unsure,4 - Effective,4 - Effective,4 - Effective,4 - Effective,3 - Unsure,4 - Effective,4 - Effective,4 - Effective,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,2 - Not effective,3 - Unsure,5 - Very effective,4 - Effective,4 - Effective,3 - Unsure,5 - Very effective,5 - Very effective,4 - Effective,4 - Effective,3 - Unsure,4 - Effective,3 - Unsure,Safety because I may have to ride in one,4 - Trust,4 - Trust,4 - Trust,5 - Trust a lot,4 - Trust,4 - Trust,4 - Trust,3 - Unsure,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,5 - Trust a lot,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,Safety Insurance companies make or lose money based on safety,Safety,Infrastructure,Environment,Justice/equity,Privacy protection,Cybersecurity,People need education on what to expect and not to expect,Listen to your constituents,Listen to your constituents,Listen to your customers,Yes,Yes and obtained a lot of additional insights,none,excited
Buffalo,C5QX-QT8V,Yes,I drove my motorcycle.  I used google maps.,Will I effect car ownership! How will it effect insurance?,Optimistic,Hopeful,Yes,Beach,Work (2 miles from home),Flordia,Car,Truck,Plane,Friend,No one,N one,Via,Music,vacation,Pot holes,Pot holes,no leg room,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would improve,,,,access,poor people,safety because save lines,,comfort because I live,,cost because how will pay,,car ownership because I like to drive,,shit-hits-the-fan because solar flares,,Yes,Agree,Agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,i trust the tech and support testing,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"if company are making money off my data, i want my cut. if they make it safer im all for it.",Yes,Neutral,Desirable,Desirable,Higly desirable,Ride share model;Public transportation model,private ownership with ride share,Yes,4 - Effective,3 - Unsure,1 - Not at all effective,3 - Unsure,2 - Not effective,4 - Effective,2 - Not effective,2 - Not effective,1 - Not at all effective,2 - Not effective,4 - Effective,2 - Not effective,2 - Not effective,3 - Unsure,2 - Not effective,4 - Effective,2 - Not effective,2 - Not effective,1 - Not at all effective,1 - Not at all effective,4 - Effective,2 - Not effective,2 - Not effective,1 - Not at all effective,1 - Not at all effective,4 - Effective,,2 - Not effective,1 - Not at all effective,1 - Not at all effective,Safety first,3 - Unsure,2 - Don't trust,2 - Don't trust,1 - Don't trust at all,3 - Unsure,4 - Trust,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,2 - Don't trust,2 - Don't trust,1 - Don't trust at all,2 - Don't trust,2 - Don't trust,5 - Trust a lot,2 - Don't trust,1 - Don't trust at all,3 - Unsure,1 - Don't trust at all,5 - Trust a lot,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,3 - Unsure,3 - Unsure,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,Gov't has the most oversite.,Cybersecurity,Safety,Infrastructure,Privacy protection,Environment,Justice/equity,Dogs running in the road,Tax insintive,Infrastructure,over site,Yes,yes,how will it effect jobs.,future
