"X.5","word","n","tf","idf","tf_idf"
"","harm",2,NA,3.89182029811063,NA
"","cost",1,NA,2.10006082888257,NA
"","for",1,NA,3.89182029811063,NA
"","others",1,NA,3.89182029811063,NA
"","safety",1,NA,0.947381318944186,NA
"accidents","accidents",1,1,3.89182029811063,3.89182029811063
"Advancement","environmental",1,1,3.89182029811063,3.89182029811063
"ambitious","safety",1,1,0.947381318944186,0.947381318944186
"arriving","access",1,0.2,3.89182029811063,0.778364059622125
"arriving","few",1,0.2,3.89182029811063,0.778364059622125
"arriving","have",1,0.2,3.89182029811063,0.778364059622125
"arriving","people",1,0.2,3.19867311755068,0.639734623510136
"arriving","will",1,0.2,3.89182029811063,0.778364059622125
"beneficial","implementation",1,0.333333333333333,3.89182029811063,1.29727343270354
"beneficial","soon",1,0.333333333333333,3.89182029811063,1.29727343270354
"beneficial","too",1,0.333333333333333,3.89182029811063,1.29727343270354
"caution","hacking",1,1,3.89182029811063,3.89182029811063
"Compelled","safety",1,1,0.947381318944186,0.947381318944186
"concerned","safety",1,1,0.947381318944186,0.947381318944186
"Convenient","affordability",1,1,3.19867311755068,3.19867311755068
"curious","add",1,0.125,3.89182029811063,0.486477537263828
"curious","cars",1,0.125,3.89182029811063,0.486477537263828
"curious","computer",1,0.125,3.89182029811063,0.486477537263828
"curious","cost",1,0.125,2.10006082888257,0.262507603610321
"curious","malfunction",1,0.125,3.89182029811063,0.486477537263828
"curious","of",1,0.125,2.79320800944252,0.349151001180315
"curious","safety",1,0.125,0.947381318944186,0.118422664868023
"curious","to",1,0.125,3.89182029811063,0.486477537263828
"Curious","safety",1,1,0.947381318944186,0.947381318944186
"dangerous","accessible",1,1,3.89182029811063,3.89182029811063
"Excited","availability",1,0.333333333333333,3.89182029811063,1.29727343270354
"Excited","public",1,0.333333333333333,3.89182029811063,1.29727343270354
"Excited","rejection",1,0.333333333333333,3.89182029811063,1.29727343270354
"excited?","adoption",1,0.166666666666667,3.89182029811063,0.648636716351771
"excited?","difficult",1,0.166666666666667,3.89182029811063,0.648636716351771
"excited?","early",1,0.166666666666667,3.89182029811063,0.648636716351771
"excited?","failures",1,0.166666666666667,3.89182029811063,0.648636716351771
"excited?","make",1,0.166666666666667,3.89182029811063,0.648636716351771
"excited?","politically",1,0.166666666666667,3.89182029811063,0.648636716351771
"exciting","all",1,0.2,3.89182029811063,0.778364059622125
"exciting","planning",1,0.2,3.89182029811063,0.778364059622125
"exciting","proper",1,0.2,3.89182029811063,0.778364059622125
"exciting","safety",1,0.2,0.947381318944186,0.189476263788837
"exciting","stakeholders",1,0.2,3.89182029811063,0.778364059622125
"Expense/energy use?","congestion",1,0.5,3.19867311755068,1.59933655877534
"Expense/energy use?","traffic",1,0.5,2.79320800944252,1.39660400472126
"exploring","over",1,0.2,3.89182029811063,0.778364059622125
"exploring","people",1,0.2,3.19867311755068,0.639734623510136
"exploring","riding",1,0.2,3.89182029811063,0.778364059622125
"exploring","system",1,0.2,3.89182029811063,0.778364059622125
"exploring","the",1,0.2,3.19867311755068,0.639734623510136
"Fascination","safety",1,1,0.947381318944186,0.947381318944186
"hesitant","cost",1,0.5,2.10006082888257,1.05003041444129
"hesitant","safety",1,0.5,0.947381318944186,0.473690659472093
"hopeful","car",1,0.2,3.19867311755068,0.639734623510136
"hopeful","in",1,0.2,3.89182029811063,0.778364059622125
"hopeful","increase",1,0.2,3.89182029811063,0.778364059622125
"hopeful","ownership",1,0.2,3.89182029811063,0.778364059622125
"hopeful","safety",1,0.2,0.947381318944186,0.189476263788837
"Inevitable","accountability",1,0.5,3.89182029811063,1.94591014905531
"Inevitable","jobs",1,0.5,3.89182029811063,1.94591014905531
"Innovative","aspect",1,0.5,3.89182029811063,1.94591014905531
"Innovative","tech",1,0.5,3.89182029811063,1.94591014905531
"intrigued","acceptance",1,1,3.19867311755068,3.19867311755068
"intriguing","congestion",1,0.5,3.19867311755068,1.59933655877534
"intriguing","traffic",1,0.5,2.79320800944252,1.39660400472126
"Intriguing","employment",1,1,3.89182029811063,3.89182029811063
"Joblessness","automotion",1,0.142857142857143,3.89182029811063,0.555974328301518
"Joblessness","class",1,0.142857142857143,3.89182029811063,0.555974328301518
"Joblessness","even",1,0.142857142857143,3.89182029811063,0.555974328301518
"Joblessness","inequality",1,0.142857142857143,3.89182029811063,0.555974328301518
"Joblessness","oppression",1,0.142857142857143,3.89182029811063,0.555974328301518
"Joblessness","poverty",1,0.142857142857143,3.89182029811063,0.555974328301518
"Joblessness","worse",1,0.142857142857143,3.89182029811063,0.555974328301518
"less drunk drivers on the road","last",1,0.5,3.89182029811063,1.94591014905531
"less drunk drivers on the road","out",1,0.5,3.89182029811063,1.94591014905531
"Lethal","safety",1,1,0.947381318944186,0.947381318944186
"Life-changing","safety",1,1,0.947381318944186,0.947381318944186
"Nervous","hackers",1,0.5,3.89182029811063,1.94591014905531
"Nervous","safety",1,0.5,0.947381318944186,0.473690659472093
"optimistic","costs",1,1,3.89182029811063,3.89182029811063
"Potential","hackability",1,0.333333333333333,3.89182029811063,1.29727343270354
"Potential","privacy",1,0.333333333333333,3.89182029811063,1.29727343270354
"Potential","smartness",1,0.333333333333333,3.89182029811063,1.29727343270354
"progress","safety",1,1,0.947381318944186,0.947381318944186
"promising","car",1,0.5,3.19867311755068,1.59933655877534
"promising","sickness",1,0.5,3.89182029811063,1.94591014905531
"quizical","safety",1,1,0.947381318944186,0.947381318944186
"Rash","traffic",1,1,2.79320800944252,2.79320800944252
"ready","cost",1,1,2.10006082888257,2.10006082888257
"Ready","how",1,0.333333333333333,3.89182029811063,1.29727343270354
"Ready","it",1,0.333333333333333,3.89182029811063,1.29727343270354
